pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
55 Cnc e,1.875,7.99,0.01544,0.7365474,2657.8322,1958.0,0.05,5172.0,0.943,0.905
AU Mic b,3.95677019,20.12,0.0649,8.46308,21.2,600.0,0.00577,3678.0,0.744,0.51
AU Mic c,2.52202066,9.6,0.1108,18.85969,7.3,459.0,0.00338,3678.0,0.744,0.51
BD-14 3065 b,21.59,3932.0,0.0656,4.2889731,646.761,2001.0,0.066,6935.0,2.35,1.41
Barnard b,0.72,0.299,0.0229,3.1542,6.76,438.0,0.03,3195.0,0.185,0.162
CD Cet b,1.82,3.95,0.0185,2.2907,8.6,464.0,,3130.0,0.175,0.161
CoRoT-1 b,16.7,327.35,0.02752,1.5089557,2852.63,1898.0,0.0,5950.0,1.11,0.95
CoRoT-10 b,10.87,874.0,0.1055,13.2406,16.1089,600.0,0.53,5075.0,0.79,0.89
CoRoT-11 b,16.03,740.51,0.0436,2.99433,1890.649,1657.0,0.0,6440.0,1.37,1.27
CoRoT-12 b,16.14,291.438,0.04016,2.828042,661.1334,1442.0,0.07,5675.0,1.116,1.078
CoRoT-13 b,9.92,415.704,0.051,4.03519,546.5339,1700.0,0.0,5945.0,1.01,1.09
CoRoT-18 b,14.68,1102.82,0.0295,1.9000693,823.7009,1550.0,0.08,5440.0,1.0,0.95
CoRoT-19 b,14.46,352.78,0.0518,3.89713,1103.809,2000.0,0.047,6090.0,1.65,1.21
CoRoT-2 b,16.432,1102.82,0.02798,1.7429935,932.9076,1521.0,0.0143,5625.0,0.906,0.96
CoRoT-20 b,9.41556,1366.669,0.09,9.24285,180.8704,1024.0,0.59,5880.0,1.02,1.14
CoRoT-32 b,6.38913,47.6745,0.071,6.71837,132.26,938.0,,5970.0,0.79,1.08
CoRoT-4 b,13.34,228.83,0.09,9.20205,203.9517,1074.0,0.0,6190.0,1.17,1.16
CoRoT-5 b,15.558,148.42,0.04947,4.0378962,786.2949,1438.0,0.09,6100.0,1.186,1.0
EPIC 201595106 b,1.565,7.67,0.0177,0.87724,2852.0,2038.0,0.0,5679.0,0.98,0.958
EPIC 211822797 b,1.92,4.35,0.1195,21.1701963,3.5,431.0,0.06,4057.0,0.58,0.62
EPIC 211945201 b,5.76,11.0,0.1493,19.49221,101.0,817.0,0.0,6069.0,1.39,1.17
EPIC 220674823 b,1.676,7.8,0.01314,0.5713127,4656.0,2299.0,0.0,5578.0,0.99,0.913
EPIC 220674823 c,2.84,7.32,0.1073,13.33989,70.0,804.0,0.17,5578.0,0.99,0.913
EPIC 229004835 b,2.332,10.4,0.1237,16.141132,69.7,804.0,0.23,5868.0,0.999,0.97
EPIC 246851721 b,11.780659,953.49,0.07229,6.180235,642.0,1401.0,,6202.0,1.586,1.317
EPIC 248847494 b,12.44199,4131.79,4.5,3650.0,0.19,183.0,0.0,4898.0,2.7,0.9
EPIC 249893012 b,1.95,8.75,0.047,3.5951,1037.0,1616.0,0.06,5430.0,1.71,1.05
EPIC 249893012 c,3.67,14.67,0.13,15.624,160.0,990.0,0.07,5430.0,1.71,1.05
EPIC 249893012 d,3.94,10.18,0.22,35.747,53.0,752.0,0.15,5430.0,1.71,1.05
G 192-15 b,1.02,1.03,0.01723,2.27476,7.06,453.6,0.0,2999.0,0.170718,0.132
G 192-15 c,3.87,14.3,1.137,1219.0,0.0016,55.9,0.676,2999.0,0.170718,0.132
G 261-6 b,1.1,1.37,0.02971,5.4536,1.8,322.3,0.0,2907.0,0.153162,0.118
G 264-012 b,1.39,2.5,0.02279,2.30538,20.5,587.0,,3326.0,0.305,0.297
G 264-012 c,1.76,3.75,0.0525,8.0518,3.87,387.0,,3326.0,0.305,0.297
G 268-110 b,1.13,1.52,0.01283,1.43263,13.57,534.0,0.0,,0.177,0.137
G 9-40 b,1.9,4.0,0.0418,5.7459982,6.27,440.6,0.0,3395.0,0.3026,0.2952
GJ 1002 b,1.03,1.08,0.0457,10.3465,0.67,230.9,,3024.0,0.137,0.12
GJ 1002 c,1.1,1.36,0.0738,21.202,0.257,181.7,,3024.0,0.137,0.12
GJ 1132 b,1.19151465,1.83704819,0.0157,1.62892911,19.3,583.8,0.0118,3229.0,0.2211,0.1945
GJ 1214 b,2.733,8.41,0.01505,1.580404531,17.2,567.0,0.0062,3101.0,0.2162,0.182
GJ 1252 b,1.193,1.32,0.00915,0.5182331,233.0,1089.0,0.0,3458.0,0.391,0.381
GJ 143 b,2.61,22.7,0.1915,35.61253,10.8612,422.0,0.188,4640.0,0.695,0.73
GJ 238 b,0.566,0.126,0.02123,1.7446999,107.262,758.0,,3485.0,0.4314,0.4193
GJ 251 b,1.79,3.85,0.0808,14.237,2.37,336.0,0.0,3342.0,0.36,0.35
GJ 251 c,1.8,3.88,0.196,53.647,0.404,216.0,0.0,3342.0,0.36,0.35
GJ 3090 b,2.13,3.34,0.03165,2.8531054,23.0419,693.0,0.32,3556.0,0.516,0.519
GJ 3470 b,4.57,13.9,0.0355,3.3366496,29.6584,593.5,0.017,3600.0,0.547,0.539
GJ 3473 b,1.264,1.86,0.01589,1.1980035,59.4,773.0,0.0,3347.0,0.364,0.36
GJ 3473 c,2.63,7.41,0.0876,15.509,1.95,329.1,0.0,3347.0,0.364,0.36
GJ 357 b,1.2,1.84,0.036,3.9306,12.6,518.0,,3505.0,0.337,0.342
GJ 357 c,1.66,3.4,0.061,9.1247,4.45,401.2,,3505.0,0.337,0.342
GJ 357 d,2.34,6.1,0.204,55.661,0.38,219.6,,3505.0,0.337,0.342
GJ 367 b,0.699,0.633,0.00709,0.3219225,579.0,1365.0,0.06,3522.0,0.458,0.455
GJ 3929 b,1.09,1.75,0.0252,2.616235,17.3,568.0,0.0,3384.0,0.32,0.313
GJ 3929 c,2.26,5.71,0.081,15.04,1.68,317.0,0.0,3384.0,0.32,0.313
GJ 393 b,1.17,1.71,0.05402,7.02679,9.21,485.0,,3579.0,0.426,0.426
GJ 3988 b,1.74,3.69,0.0405,6.9442,2.45,348.0,0.0,3273.0,0.19734,0.1842
GJ 411 b,1.45,2.69,0.07879,12.9394,3.13,349.83,0.063,3719.0,0.3685,0.3899
GJ 436 b,4.17,22.1,0.0291,2.64388312,29.4322,686.0,0.13827,3586.11,0.455,0.47
GJ 486 b,1.289,2.77,0.01714,1.46712127,39.2,696.3,0.00086,3317.0,0.3243,0.312
GJ 514 b,2.13,5.2,0.422,140.43,0.28,202.0,0.45,3728.0,0.5,0.51
GJ 536 b,2.41,6.37,0.0668,8.70874,9.9,451.0,0.0,3641.0,0.529,0.528
GJ 536 c,2.3,5.89,0.1617,32.761,1.692,290.5,0.0,3641.0,0.529,0.528
GJ 724 b,3.27,10.75,0.04685,5.101284,23.32,611.0,0.577,3799.0,0.52226,0.5271
GJ 740 b,1.53,2.96,0.029,2.37756,79.0,829.0,0.24,3913.0,0.56,0.58
GJ 806 b,1.331,1.9,0.01406,0.9263237,130.0,940.0,,3600.0,0.4144,0.413
GJ 806 c,2.28,5.8,0.0523,6.64064,9.5,490.0,,3600.0,0.4144,0.413
GJ 887 b,1.88,4.2,0.068,9.262,7.95,468.0,0.0,3688.0,0.4712,0.489
GJ 887 c,2.67,7.6,0.12,21.789,2.56,352.0,,3688.0,0.4712,0.489
GJ 9827 b,1.44,4.28,0.0189,1.208974,318.0,1035.01,0.0,4236.0,0.58,0.62
GJ 9827 c,1.13,1.86,0.0395,3.648103,73.0,715.94,0.0,4236.0,0.58,0.62
GJ 9827 d,1.98,3.02,0.053,6.20183,34.9,675.0,0.0,4236.0,0.58,0.62
GPX-1 b,16.47720163,6261.2196179,0.0338,1.744579,4650.0,2300.0,0.0,7000.0,1.56,1.68
Gaia-1 b,13.77583728,533.95172376,0.04047,3.052524,426.5351,1159.07,,5470.0,0.952,0.949
Gaia-2 b,14.81827249,259.66580852,0.0467,3.6915224,512.0235,1213.23,,5720.0,1.064,1.0
Gliese 12 b,0.958,3.87,0.0668,12.761408,1.62,314.6,0.5,3296.0,0.2617,0.2414
HAT-P-1 b,14.784671,166.86075,0.05561,4.46529976,259.687,1322.0,0.0,5980.0,1.174,1.151
HAT-P-11 b,4.36,25.0,0.05258,4.888,100.77,838.0,0.251,4653.0,0.683,0.811
HAT-P-12 b,10.749,67.059,0.0384,3.2130598,118.075,963.0,0.0,4650.0,0.701,0.733
HAT-P-13 b,14.258,270.462,0.04383,2.91625,1978.5245,1740.0,0.0133,5653.0,1.756,1.32
HAT-P-14 b,15.91678,1093.3352,0.0596,4.62767,1038.78,1624.0,0.11,6600.0,1.82,2.65
HAT-P-15 b,11.88154,616.5902,0.0965,10.8635,79.7578,904.0,0.19,5568.0,1.07,1.0
HAT-P-16 b,14.68376472,1341.56043,0.0413,2.77596727,1597.59,1566.0,0.0462,6158.0,1.237,1.218
HAT-P-17 b,11.76945,184.3414,0.0882,10.33852,110.512,792.0,0.35,5246.0,0.87,0.99
HAT-P-18 b,11.153,62.61,0.0559,5.508023,82.2407,852.0,0.084,4803.0,0.749,0.77
HAT-P-19 b,11.29865255,88.03846874,0.04599,4.00878322,154.0,981.2,0.07,4962.0,0.773,0.807
HAT-P-2 b,10.659759,2866.81223114,0.06814,5.6335158,588.518,1540.0,0.5172,6380.0,1.39,1.33
HAT-P-20 b,9.718,2302.899,0.0361,2.875317,85.1168,970.0,0.015,4595.0,0.694,0.756
HAT-P-21 b,12.44199,1547.8321,0.0494,4.12448,459.542,1283.0,0.23,5588.0,1.21,1.24
HAT-P-22 b,12.89035,785.0401,0.0414,3.21222,325.569,1463.0,0.02,5302.0,1.11,1.13
HAT-P-23 b,15.334,664.237,0.0232,1.212884,2796.2342,2056.0,0.106,5905.0,1.203,1.13
HAT-P-24 b,14.5717,238.3725,0.04651,3.35524,1294.929,1637.0,0.07,6373.0,1.38,1.37
HAT-P-25 b,12.722215,180.84527,0.0466,3.65281514,325.0,1182.0,0.023,5519.0,0.919,1.012
HAT-P-26 b,7.06167,22.2481,0.0479,4.23452,185.0743,1001.0,0.12,5079.0,0.87,1.12
HAT-P-27 b,11.43,197.05,0.04,3.039577,336.0384,1091.99,0.0,5316.0,0.864673,0.916
HAT-P-28 b,13.585,198.953,0.0434,3.257215,554.7122,1384.0,0.051,5680.0,1.103,1.025
HAT-P-29 b,13.11453,279.6904,0.0667,5.72319,433.0,1271.0,0.09,6087.0,1.3,1.45
HAT-P-3 b,10.53646,206.5895,0.03866,2.8997,176.587,1189.0,0.0,5185.0,0.87,1.06
HAT-P-30 b,16.14096,263.7989,0.0419,2.8106,1467.9573,1630.0,0.04,6304.0,1.31,1.55
HAT-P-31 b,12.21781,721.4741,0.061,5.00542,746.9025,1450.0,0.25,6065.0,1.39,1.31
HAT-P-32 b,22.19382,216.1244,0.03397,2.1500082,1841.0,1835.7,0.159,6001.0,1.367,1.132
HAT-P-33 b,20.73665,292.4036,0.04995,3.47447,1701.38,1782.0,0.0,6446.0,1.79,1.82
HAT-P-34 b,13.417173,1058.3739,0.06774,5.452654,433.78,1520.0,0.432,6442.0,1.53,1.392
HAT-P-35 b,14.930388,335.62848,0.04978,3.646706,999.6688,1581.0,0.02,6096.0,1.435,1.236
HAT-P-36 b,14.313893,587.413406,0.0241,1.32734683,1821.0,1780.97,0.063,5620.0,1.041,1.03
HAT-P-37 b,13.204,371.528,0.0379,2.797436,412.3914,1271.0,0.058,5500.0,0.877,0.929
HAT-P-38 b,9.247,84.857,0.0523,4.640382,243.0337,1082.0,0.067,5330.0,0.923,0.886
HAT-P-39 b,17.609,190.372,0.0509,3.54387,1915.6934,1752.0,0.0,6430.0,1.625,1.404
HAT-P-4 b,14.28,213.255,0.04438,3.056536,1438.0,1686.0,0.0,5860.0,1.596,1.248
HAT-P-40 b,17.03768,152.5584,0.0608,4.45724,1747.4151,1770.0,0.0,6080.0,1.94,1.03
HAT-P-41 b,22.97845,378.2177,0.04258,2.69405,2485.0721,1941.0,0.0,6390.0,2.05,2.56
HAT-P-42 b,14.348,331.801,0.0575,4.641878,684.0973,1428.0,0.0,5743.0,1.53,1.178
HAT-P-43 b,13.63,210.395,0.0444,3.3326414,521.877,1353.0,0.0,5693.0,1.08,1.03
HAT-P-44 b,13.922,111.871,0.0507,4.301219,185.119,1108.0,0.044,5295.0,0.949,0.942
HAT-P-45 b,15.984,283.492,0.0452,3.128992,1052.239,1652.0,0.049,6330.0,1.319,1.259
HAT-P-46 b,14.392,156.684,0.0577,4.463129,1405.4798,1458.0,0.123,6120.0,1.396,1.284
HAT-P-49 b,17.82231,699.226,0.04378,2.69155,4392.03,2131.0,0.0,6820.0,2.06,2.22
HAT-P-5 b,13.56289,311.4734,0.04073,2.78849,850.6754,1539.0,0.0,5960.0,1.12,1.04
HAT-P-50 b,14.437192,429.0705,0.0453,3.1220109,2108.4362,1862.0,0.115,6280.0,1.698,1.273
HAT-P-51 b,13.50682174,97.57332095,0.05042,4.21802091,310.0,1168.2,0.07,5453.0,0.995,0.961
HAT-P-52 b,11.309881,259.98494,0.03694,2.7535953,227.759,1218.0,0.047,5131.0,0.893,0.887
HAT-P-53 b,14.773462,471.65972,0.03159,1.9616241,1400.0226,1778.0,0.134,5956.0,1.209,1.093
HAT-P-54 b,10.581296,241.5508,0.04117,3.799847,88.6713,818.0,0.074,4390.0,0.617,0.645
HAT-P-55 b,14.84069045,189.42573057,0.04628,3.5852313,583.0,1367.0,0.17,5804.0,1.105,1.028
HAT-P-56 b,16.92559,734.1873,0.0423,2.79083,3515.0,1840.0,0.29,6566.0,1.47,1.42
HAT-P-57 b,19.50366,448.1403,0.0406,2.4653,2726.6328,2200.0,0.0,6330.0,1.85,2.77
HAT-P-58 b,14.93036229,118.2321674,0.04994,4.0138379,1146.0,1622.0,0.073,6078.0,1.53,1.031
HAT-P-59 b,12.58768533,489.45574678,0.05064,4.1419771,441.4,1277.8,0.03,5678.0,1.1038,1.008
HAT-P-6 b,16.58932,419.5356,0.05239,3.85298,1099.44,1675.0,0.0,6570.0,1.62,1.79
HAT-P-60 b,18.28184752,182.43350562,0.06277,4.7947813,1634.0,1772.0,0.25,6212.0,2.197,1.435
HAT-P-61 b,10.07687365,335.9446262,0.0301,1.90231289,849.5,1505.0,0.113,5587.0,0.938,1.004
HAT-P-62 b,12.02723629,241.86741773,0.03772,2.6453235,867.2,1512.0,0.101,5629.0,1.17,1.023
HAT-P-63 b,12.5428494,195.1466419,0.04294,3.377728,387.4,1237.0,0.069,5400.0,0.9661,0.925
HAT-P-64 b,19.08889413,184.34047606,0.05387,4.007232,1611.0,1766.0,0.101,6457.0,1.735,1.298
HAT-P-65 b,18.05766791,176.07693748,0.04042,2.60544751,1821.0,1818.0,0.304,5872.0,1.666,1.297
HAT-P-66 b,17.82231,248.86089,0.04363,2.972086,1939.51,1896.0,0.09,6002.0,1.881,1.255
HAT-P-67 b,23.370765,108.0622,0.06505,4.8101025,2029.17,1903.0,0.0,6406.0,2.546,1.642
HAT-P-68 b,12.016048,230.10892,0.02996,2.29840551,184.8,1027.8,0.041,4508.0,0.6701,0.6785
HAT-P-69 b,18.786284,1137.8314,0.06555,4.7869491,2320.18,1930.0,0.0,7394.0,1.926,1.648
HAT-P-7 b,16.92559,584.8072,0.03809,2.20474,4353.408,2733.0,0.0,6389.0,2.0,1.56
HAT-P-70 b,20.96083,2154.8874,0.04739,2.74432452,5405.6,2562.0,0.0,8450.0,1.858,1.89
HAT-P-8 b,15.6926,406.8224,0.04496,3.07634,1519.9645,1700.0,0.0,6200.0,1.57,1.27
HAT-P-9 b,15.614137,238.05467,0.05287,3.92281072,931.0,1540.0,0.084,6350.0,1.338,1.281
HATS-1 b,14.594,589.55,0.0444,3.446459,489.9461,1359.0,0.12,5870.0,1.038,0.986
HATS-10 b,10.861521,167.17858,0.04491,3.312846,836.8558,1407.0,0.501,5880.0,1.105,1.101
HATS-11 b,18.03,263.7989,0.0507,3.619188,1027.296,1596.0,0.34,6563.0,1.54,1.33
HATS-12 b,7.76,759.6137,0.0441,3.142702,566.4817,1446.0,0.085,6357.0,1.17,1.16
HATS-13 b,13.585308,172.58169,0.04057,3.0440499,315.9871,1244.0,0.181,5523.0,0.887,0.962
HATS-14 b,11.646151,340.39593,0.03815,2.7667641,505.884,1276.0,0.142,5346.0,0.933,0.967
HATS-15 b,12.385945,689.6911,0.02712,1.74748753,2201.3363,1505.0,0.126,5311.0,0.922,0.871
HATS-16 b,14.5717,1039.3041,0.03744,2.686502,994.8106,1592.0,0.0,5738.0,1.238,0.97
HATS-17 b,8.709393,425.25654,0.1308,16.254611,72.7,814.0,0.029,5846.0,1.091,1.131
HATS-18 b,14.896761,629.144485,0.0174,0.83784,2990.0,2069.48,0.166,5600.0,1.02,1.037
HATS-2 b,12.57647635,435.42491759,0.02317,1.35413379,950.0563,1550.0,0.0,5227.0,0.876,0.904
HATS-22 b,10.682177,870.8542,0.05025,4.7228124,111.299,858.0,0.079,4803.0,0.689,0.759
HATS-24 b,15.636555,718.2958,0.0238,1.3484978,2706.9606,2166.0,0.0,6125.0,1.12,1.07
HATS-25 b,14.12334,194.82979,0.05163,4.2986432,454.8721,1277.0,0.176,5715.0,1.107,0.994
HATS-26 b,19.61575,206.5895,0.04735,3.3023881,2236.5716,1918.0,0.245,6071.0,2.04,1.299
HATS-27 b,16.8135,168.4499,0.0611,4.637038,1342.5733,1659.0,0.581,6438.0,1.74,1.415
HATS-29 b,14.022459,207.54299,0.05475,4.6058749,356.0,1212.0,0.158,5670.0,1.073,1.032
HATS-3 b,15.48,340.382,0.0485,3.547851,1212.0044,1648.0,0.0,6351.0,1.404,1.209
HATS-30 b,13.170575,224.38798,0.04354,3.1743516,718.9097,1414.0,0.096,5943.0,1.061,1.093
HATS-31 b,18.38276,279.6904,0.0478,3.37796,1619.406,1823.0,0.233,6050.0,1.87,1.275
HATS-32 b,14.000041,292.4036,0.04024,2.8126548,614.5934,1437.0,0.471,5700.0,1.097,1.099
HATS-33 b,13.78707,378.85336,0.03727,2.5495551,757.1284,1429.0,0.08,5659.0,1.022,1.062
HATS-34 b,16.02887,299.07803,0.03166,2.1061607,691.8428,1445.0,0.108,5380.0,0.98,0.955
HATS-35 b,16.409976,388.38826,0.03199,1.8209993,2440.7,2037.0,0.306,6300.0,1.433,1.317
HATS-36 b,12.92,1022.14128,0.0523,4.175186,561.0,1203.0,0.105,5950.0,1.1,1.1
HATS-37 A b,6.792654,31.46517,0.04913,4.3315366,229.7,1085.0,0.0,5326.0,0.877,0.843
HATS-38 b,6.882326,23.51942,0.05036,4.375021,464.7,1294.0,0.0,5732.0,1.105,0.89
HATS-39 b,17.59813,200.2329,0.06007,4.5776348,1547.1014,1645.0,0.275,6572.0,1.621,1.379
HATS-4 b,11.433,420.471,0.0362,2.516729,558.828,1315.0,0.013,5403.0,0.925,1.001
HATS-40 b,17.71022,505.3497,0.04997,3.2642736,3163.3762,2101.0,0.312,6460.0,2.26,1.561
HATS-41 b,14.90797,3082.951,0.0583,4.193649,1300.3125,1710.0,0.38,6424.0,1.71,1.496
HATS-42 b,15.6926,597.5204,0.03689,2.292102,1637.2058,1856.0,0.229,6060.0,1.48,1.273
HATS-43 b,13.22662,82.95363,0.04944,4.3888497,192.2328,1003.0,0.173,5099.0,0.812,0.837
HATS-44 b,11.960003,177.9848,0.03649,2.7439004,306.417,1161.0,0.279,5080.0,0.847,0.86
HATS-45 b,14.414774,222.481,0.05511,4.1876244,811.3504,1518.0,0.24,6450.0,1.315,1.272
HATS-46 b,10.121727,54.98459,0.05367,4.7423729,209.7699,1054.0,0.559,5495.0,0.853,0.917
HATS-47 b,12.520453,117.27927,0.04269,3.9228038,87.73,852.9,0.088,4512.0,0.6564,0.674
HATS-48 A b,8.9672,77.23269,0.03769,3.1316666,137.6,954.6,0.162,4546.0,0.7152,0.7279
HATS-49 b,8.574885,112.19399,0.04515,4.1480467,80.45,834.8,0.071,4405.0,0.6977,0.7133
HATS-5 b,10.223,75.323,0.0542,4.763387,183.2395,1025.0,0.019,5304.0,0.871,0.936
HATS-50 b,12.66617,123.9537,0.05046,3.8297015,625.3023,1275.39,0.516,5990.0,1.117,1.168
HATS-51 b,15.80469,244.09344,0.04639,3.3488702,740.2246,1553.0,0.33,5758.0,1.44,1.187
HATS-52 b,15.490838,711.9392,0.02498,1.36665436,1310.22,1834.0,0.246,6010.0,1.046,1.111
HATS-53 b,15.02006,189.10885,0.04753,3.8537768,471.61,1312.0,0.33,5644.0,1.101,0.964
HATS-54 b,11.37711541,239.32479047,0.037,2.5441765,476.965,1429.0,0.0,5621.0,1.23,1.05
HATS-55 b,14.022459,292.72143,0.05412,4.2042001,355.909,1367.0,0.092,6214.0,1.126,1.1955
HATS-56 b,18.920792,191.33366,0.06043,4.324799,1080.87,1902.0,0.019,6536.0,2.201,1.573
HATS-57 b,12.767051,1000.21101,0.03493,2.350621,570.233,1413.4,0.028,5587.0,0.96,1.026
HATS-58 A b,12.273855,327.3649,0.05798,4.2180896,382.7103,1721.0,0.168,7175.0,1.433,1.461
HATS-59 b,12.621334,256.17098,0.06112,5.416081,269.0,1128.0,0.129,5670.0,1.036,1.038
HATS-59 c,12.3,4036.441,2.504,1422.0,0.159,175.9,0.083,5670.0,1.036,1.038
HATS-6 b,11.186582,101.38777,0.03623,3.3252725,47.3315,712.8,0.0,3724.0,0.57,0.574
HATS-60 b,12.923977,210.40346,0.04708,3.560829,903.9,1528.0,0.191,5688.0,1.46,1.097
HATS-61 b,13.394755,1080.622,0.07908,7.817953,374.2,1226.1,0.092,5542.0,1.664,1.076
HATS-62 b,11.825495,56.89157,0.04163,3.2768837,387.4,1237.0,0.298,5416.0,0.933,0.896
HATS-63 b,13.529263,305.1168,0.04026,3.0566527,634.1,1398.3,0.136,5627.0,1.07,0.931
HATS-64 b,18.819911,305.1168,0.06562,4.908897,1711.0,1793.0,0.151,6554.0,2.113,1.564
HATS-65 b,16.824709,260.93843,0.04497,3.105161,1178.0,1634.0,0.062,6277.0,1.31,1.257
HATS-66 b,15.815899,1694.0339,0.04714,3.1414391,2637.0,1998.0,0.064,6626.0,1.841,1.411
HATS-67 b,18.887165,460.8535,0.03032,1.6091788,3821.0,2193.0,0.057,6594.0,1.441,1.435
HATS-68 b,13.809488,410.0007,0.05071,3.5862202,1521.0,1741.0,0.036,6147.0,1.748,1.351
HATS-69 b,10.592505,183.38791,0.03211,2.2252577,466.6,1295.7,0.519,5137.0,0.8785,0.892
HATS-7 b,6.310667,38.1396,0.04012,3.185315,211.6178,1084.0,0.17,4985.0,0.815,0.849
HATS-70 b,15.513256,4100.007,0.03632,1.8882378,9110.0,2730.0,0.18,7930.0,1.881,1.78
HATS-71 b,11.478016,117.5971,0.03745,3.7955202,18.0832,586.8,0.0,3405.0,0.4783,0.4861
HATS-72 b,8.0973816,39.855882,0.066517,7.3279474,49.58,739.3,0.013,4656.1,0.7214,0.7311
HATS-74 A b,11.56766808,464.02947422,0.02384,1.73185606,106.9,895.1,0.044,3776.9,0.5758,0.601
HATS-75 b,9.90873894,156.05374784,0.032742,2.7886556,59.26,772.3,0.064,3790.4,0.5848,0.6017
HATS-76 b,12.09449018,835.570882,0.02658,1.9416423,129.8,939.8,0.062,4016.0,0.6259,0.662
HATS-77 b,13.05846252,436.69623122,0.03607,3.0876262,78.37,828.3,0.045,4071.0,0.6428,0.655
HATS-8 b,9.785457,43.86054,0.04667,3.583893,510.8195,1324.0,0.376,5679.0,1.086,1.056
HATS-9 b,13.85,266.02371,0.0312,1.915291,2292.0839,1746.0,0.075,5599.0,1.56,1.1
HD 101581 b,0.956,0.827,0.046,4.46569,80.0,834.0,,4675.0,0.63,0.653
HD 101581 c,0.99,0.937,0.0573,6.20401,52.0,747.0,,4675.0,0.63,0.653
HD 106315 b,2.44,12.6,0.0907,9.55237,277.0,1153.0,0.093,6327.0,1.296,1.091
HD 106315 c,4.35,15.2,0.1536,21.05704,97.0,886.0,0.22,6327.0,1.296,1.091
HD 108236 b,1.615,3.24,0.04527,3.795963,312.1807,1099.0,0.045,5660.0,0.877,0.869
HD 108236 c,2.071,4.94,0.062,6.203449,162.1675,932.0,0.034,5660.0,0.877,0.869
HD 108236 d,2.539,6.98,0.1074,14.175685,53.8795,708.0,0.055,5660.0,0.877,0.869
HD 108236 e,3.083,9.71,0.1367,19.590025,35.0031,636.0,0.058,5660.0,0.877,0.869
HD 109286 b,13.2,950.30693693,1.259,520.1,0.709,259.4,0.338,5694.0,1.089,0.98
HD 110082 b,3.2,10.3,0.113,10.18271,198.3948,957.2,0.2,6200.0,1.19,1.21
HD 110113 b,2.05,4.55,0.035,2.541,735.49,1371.0,0.093,5732.0,0.968,0.997
HD 110113 c,2.11384817,10.5,0.068,6.744,199.9,990.0,0.045,5732.0,0.968,0.997
HD 115954 b,12.6,2685.65003915,5.0,3700.0,0.064,144.9,0.487,5957.0,1.213,1.18
HD 118203 b,12.778238,680.15279098,0.0713,6.1349779,593.4,1361.0,0.3136,5742.0,2.04,1.27
HD 135694 b,2.857,6.1,0.124695,15.923475568,71.8,750.83,0.0,5712.0,1.08,1.02
HD 136352 b,1.664,4.72,0.0964,11.57797,111.6,905.0,0.0,5664.0,1.058,0.87
HD 136352 c,2.916,11.24,0.1721,27.59221,35.1,677.0,0.0,5664.0,1.058,0.87
HD 136352 d,2.562,8.82,0.425,107.245,5.74,431.0,0.0,5664.0,1.058,0.87
HD 1397 b,11.500434,131.89945,0.1097,11.53533,356.0,1228.3,0.251,5521.0,2.336,1.324
HD 149026 b,8.29466,120.7754,0.04364,2.87589,1095.91,1626.0,0.0,6179.0,1.41,1.42
HD 152843 b,3.05,9.82,0.1049,11.62071,265.4,1003.11,0.046,6310.0,1.43,1.15
HD 152843 c,5.94,9.67,0.1482,19.502104,133.1,253.08,0.074,6310.0,1.43,1.15
HD 15337 b,1.77,6.519,0.05245,4.7559804,161.7314,1001.0,0.058,5131.0,0.855,0.829
HD 15337 c,2.526,6.792,0.1235,17.180546,29.1782,656.1,0.096,5131.0,0.855,0.829
HD 15906 b,2.24,5.65,0.09,10.924709,33.14,668.0,0.11,4757.0,0.762,0.79
HD 15906 c,2.93,8.91,0.141,21.583298,13.37,532.0,0.04,4757.0,0.762,0.79
HD 164922 b,13.3,116.0,2.16,1207.0,0.1578,159.4,0.08,5390.0,0.946,0.926
HD 164922 c,3.66,13.0,0.341,75.74,6.29,400.5,0.12,5390.0,0.946,0.926
HD 17156 b,12.26262489,1036.12060682,0.1632,21.2164294,68.8,888.0,0.6772,6046.0,1.517,1.285
HD 183579 b,3.49,20.4,0.1322,17.471291,58.1,752.0,0.061,5784.0,0.96,0.996
HD 18599 b,2.6,24.1,0.048,4.1374354,145.0,863.0,0.34,5145.0,0.767,0.863
HD 189733 b,12.66617,359.1479,0.03126,2.21857567,356.0,1209.0,0.0,5052.0,0.75,0.79
HD 191939 b,3.41,10.0,0.0804,8.8803256,100.0,880.0,0.031,5348.0,0.94,0.81
HD 191939 c,3.195,8.0,0.1752,28.579743,21.0,600.0,0.034,5348.0,0.94,0.81
HD 191939 d,2.995,2.8,0.2132,38.353037,14.3,540.0,0.031,5348.0,0.94,0.81
HD 191939 e,13.0,112.2,0.407,101.12,3.9,390.0,0.031,5348.0,0.94,0.81
HD 191939 g,3.74,13.5,0.812,284.0,0.99,278.0,0.03,5348.0,0.94,0.81
HD 202772 A b,17.317905,323.23311,0.05208,3.308958,3440.0,2132.0,0.038,6272.0,2.591,1.72
HD 20329 b,1.72,7.42,0.018,0.926118,3474.0,2141.0,0.0,5596.0,1.13,0.9
HD 207496 b,2.25,6.1,0.0629,6.441008,72.9,743.0,0.231,4819.0,0.769,0.8
