pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
TOI-2498 b,6.06,34.62,0.0491,3.738252,790.4759,1443.0,0.089,5905.0,1.26,1.12
TOI-251 b,2.74,317.83,0.05741,4.93777,277.7462,1041.19,0.0,5875.0,0.881,1.036
TOI-2524 b,11.2089807,203.41018048,0.073,7.18585,210.609,1100.0,0.0,5831.0,1.119,1.007
TOI-2525 b,8.67575106,26.69758619,0.1511,23.2856,16.3643,512.97,0.17,5096.0,0.785,0.849
TOI-2525 c,10.13291855,208.8132634,0.249,49.2519,6.0478,399.96,0.157,5096.0,0.785,0.849
TOI-2529 b,11.54525012,743.71847238,0.327,64.5949,70.9731,636.0,0.021,5802.0,1.7,1.11
TOI-2537 b,11.25381662,415.40172795,0.3715,94.1022,7.4445,338.0,0.364,4870.0,0.771,0.771
TOI-2567 b,10.92875618,63.88350981,0.0672,5.983944,558.0,1352.0,0.0,5611.0,1.686,1.13
TOI-257 b,7.16253867,43.86032017,0.1528,18.38818,186.0,1027.0,0.0,6095.0,1.867,1.407
TOI-2570 b,13.64132951,260.61929374,0.04145,2.9887615,699.0,1431.0,0.0,5771.0,1.095,1.063
TOI-2580 b,17.37392009,200.23189641,0.048,3.39775,1730.0,2410.0,0.08,6120.0,1.81,1.33
TOI-2583 A b,14.4595851,79.45710175,0.0571,4.5207265,750.9,1456.0,0.0,5936.0,1.477,1.215
TOI-2587 A b,12.07207221,69.28659273,0.0635,5.45664,728.0,1445.0,0.0,5760.0,1.726,1.15
TOI-2589 b,12.10569916,1112.3994245,0.3,61.6277,21.7464,592.0,0.522,5579.0,1.07,0.93
TOI-260 b,1.71,4.23,0.0943,13.475853,10.1838,493.0,0.0,4026.0,0.607,0.616
TOI-261.01,3.0449863,9.51,0.034792189,3.3639254,874.7956,1722.49,,5890.3,1.28018,0.496728
TOI-262 b,2.07,4.94,0.163,11.14529,56.9133,584.0,,5310.0,0.853,0.913
TOI-2641 b,18.10250383,122.6817651,0.0607,4.880974,602.0,1387.0,0.18,6100.0,1.336,1.16
TOI-269 b,2.77,8.8,0.0345,3.6977104,19.0,531.0,0.425,3514.0,0.398,0.3917
TOI-270 b,1.28,1.48,0.03197,3.35992,19.9261,600.0,0.0167,3506.0,0.38,0.386
TOI-270 c,2.33,6.2,0.04526,5.66051,9.9407,489.0,0.0044,3506.0,0.38,0.386
TOI-270 d,2.0,4.2,0.0721,11.38194,3.918,383.0,0.0066,3506.0,0.38,0.386
TOI-2714 b,13.72,228.0,0.036,2.499387,945.55,1603.0,0.164,5665.0,1.25,1.07
TOI-2768 b,2.63,7.41,0.027,1.50801,89.0458,855.0,,4008.0,0.657,0.63
TOI-277 b,2.65,7.51,0.0269,3.994,28.236,587.92,,4031.0,0.362,0.16
TOI-2796 b,17.26183028,139.84449908,0.0569,4.8084983,352.0,1205.0,0.0,5764.0,1.069,1.063
TOI-2803 A b,18.11371281,309.88269682,0.03185,1.96229325,2150.0,1893.0,0.0,6280.0,1.245,1.118
TOI-2818 b,15.27784069,225.65816897,0.0493,4.039709,598.0,1376.0,0.0,5721.0,1.229,0.977
TOI-283 b,2.34,6.54,0.123,17.61745,30.4,661.0,0.0,5213.0,0.85,0.8
TOI-2842 b,12.84549188,117.59651059,0.0475,3.5514058,781.8,1471.0,0.0,5910.0,1.265,1.135
TOI-286 b,1.42,4.53,0.0503,4.5117244,86.7681,979.0,0.0,5152.0,0.78,0.832
TOI-286 c,1.88,3.72,0.213,39.361826,22.4437,475.0,0.0,5152.0,0.78,0.832
TOI-2876 b,9.6397234,54.03082919,0.0654,6.2996431,124.2,929.0,0.13,5271.0,0.873,0.939
TOI-2886 b,18.6405349,444.9597698,0.02871,1.60200105,2560.0,1978.0,0.11,6240.0,1.241,1.229
TOI-2969 b,12.32987877,368.68095212,0.0261,1.8237146,382.0,1186.0,0.0,4738.0,0.7,0.71
TOI-2977 b,13.15934334,533.95172376,0.03386,2.3505614,947.8,1544.0,0.0,5691.0,1.073,0.936
TOI-2981 b,13.4,638.0,0.048,3.601501,556.616,1358.0,0.035,5940.0,1.08,1.03
TOI-2986 b,9.292245,96.61983573,0.04489,3.2783662,1156.0,1622.0,0.14,5906.0,1.458,1.122
TOI-2989 b,12.55405838,953.485221,0.0384,3.122832,124.0,1001.0,0.0,4672.0,0.76,0.77
TOI-2992 b,13.75341932,1058.36859531,0.0434,3.007812,1484.0,1726.0,0.089,6000.0,1.545,1.21
TOI-3023 b,16.43236571,197.05361234,0.0505,3.9014971,1084.0,1596.0,0.0,5760.0,1.668,1.12
TOI-3071 b,7.16,68.2,0.0249,1.266938,2579.61,2155.0,0.09,6177.0,1.31,1.29
TOI-3135 b,13.65253849,327.36325921,0.04756,3.7065585,464.0,1292.0,0.24,5890.0,0.985,1.044
TOI-3160 A b,13.7646283,378.21580433,0.0505,3.971281,933.0,1539.0,0.18,6190.0,1.346,1.088
TOI-3235 b,11.39953337,211.35589065,0.02709,2.59261842,13.8883,604.0,0.029,3388.8,0.3697,0.3939
TOI-3261 b,3.82,30.3,0.01714,0.8831331,1466.0,1722.0,0.0,5068.0,0.849,0.861
